x,mempool_tx_count,date
1524203100000,1574.8958333333333,2018-04-20 05:45:00
1524386700000,1651.78125,2018-04-22 08:45:00
1524570300000,3866.25,2018-04-24 11:45:00
1524753900000,7689.5,2018-04-26 14:45:00
1524937500000,2794.7708333333335,2018-04-28 17:45:00
1525121100000,2050.7395833333335,2018-04-30 20:45:00
1525304700000,3557.9166666666665,2018-05-02 23:45:00
1525488300000,4361.666666666667,2018-05-05 02:45:00
1525671900000,2850.03125,2018-05-07 05:45:00
1525855500000,3546.640625,2018-05-09 08:45:00
1526039100000,3131.1197916666665,2018-05-11 11:45:00
1526222700000,1175.78125,2018-05-13 14:45:00
1526406300000,3205.7447916666665,2018-05-15 17:45:00
1526589900000,2749.3177083333335,2018-05-17 20:45:00
1526773500000,1186.4791666666667,2018-05-19 23:45:00
1526957100000,1750.75,2018-05-22 02:45:00
1527140700000,1801.703125,2018-05-24 05:45:00
1527324300000,2588.6510416666665,2018-05-26 08:45:00
1527507900000,1428.7135416666667,2018-05-28 11:45:00
1527691500000,3519.9583333333335,2018-05-30 14:45:00
1527875100000,1936.328125,2018-06-01 17:45:00
1528058700000,1626.8333333333333,2018-06-03 20:45:00
1528242300000,2718.6770833333335,2018-06-05 23:45:00
1528425900000,4728.265625,2018-06-08 02:45:00
1528609500000,1774.8541666666667,2018-06-10 05:45:00
1528793100000,3231.9375,2018-06-12 08:45:00
1528976700000,7461.822916666667,2018-06-14 11:45:00
1529160300000,1449.90625,2018-06-16 14:45:00
1529343900000,1855.9427083333333,2018-06-18 17:45:00
1529527500000,9328.942708333334,2018-06-20 20:45:00
1529711100000,2918.640625,2018-06-22 23:45:00
1529894700000,1216.265625,2018-06-25 02:45:00
1530078300000,3127.1041666666665,2018-06-27 05:45:00
1530261900000,1895.8645833333333,2018-06-29 08:45:00
1530445500000,1695.8333333333333,2018-07-01 11:45:00
1530629100000,7051.041666666667,2018-07-03 14:45:00
1530812700000,1837.4739583333333,2018-07-05 17:45:00
1530996300000,1373.3645833333333,2018-07-07 20:45:00
1531179900000,3206.9270833333335,2018-07-09 23:45:00
1531363500000,2998.8020833333335,2018-07-12 02:45:00
1531547100000,6327.989583333333,2018-07-14 05:45:00
1531730700000,2264.8229166666665,2018-07-16 08:45:00
1531914300000,2415.0052083333335,2018-07-18 11:45:00
1532097900000,2096.4270833333335,2018-07-20 14:45:00
1532281500000,1495.2395833333333,2018-07-22 17:45:00
1532465100000,3043.109375,2018-07-24 20:45:00
1532648700000,2272.1875,2018-07-26 23:45:00
1532832300000,2214.0729166666665,2018-07-29 02:45:00
1533015900000,3385.4791666666665,2018-07-31 05:45:00
1533199500000,3402.625,2018-08-02 08:45:00
1533383100000,2230.9166666666665,2018-08-04 11:45:00
1533566700000,2566.6302083333335,2018-08-06 14:45:00
1533750300000,2518.3333333333335,2018-08-08 17:45:00
1533933900000,1800.9739583333333,2018-08-10 20:45:00
1534117500000,1329.2552083333333,2018-08-12 23:45:00
1534301100000,5502.270833333333,2018-08-15 02:45:00
1534484700000,3023.9479166666665,2018-08-17 05:45:00
1534668300000,1704.4583333333333,2018-08-19 08:45:00
1534851900000,4301.734375,2018-08-21 11:45:00
1535035500000,2407.9947916666665,2018-08-23 14:45:00
1535219100000,1768.8177083333333,2018-08-25 17:45:00
1535402700000,2251.5625,2018-08-27 20:45:00
1535586300000,2982.0833333333335,2018-08-29 23:45:00
1535769900000,3184.015625,2018-09-01 02:45:00
1535953500000,1756.7135416666667,2018-09-03 05:45:00
1536137100000,5546.182291666667,2018-09-05 08:45:00
1536320700000,3720.4427083333335,2018-09-07 11:45:00
1536504300000,1951.5104166666667,2018-09-09 14:45:00
1536687900000,3951.40625,2018-09-11 17:45:00
1536871500000,2372.6197916666665,2018-09-13 20:45:00
1537055100000,2389.3854166666665,2018-09-15 23:45:00
1537238700000,3417.2708333333335,2018-09-18 02:45:00
1537422300000,3633.9583333333335,2018-09-20 05:45:00
1537605900000,3594.6927083333335,2018-09-22 08:45:00
1537789500000,1833.0208333333333,2018-09-24 11:45:00
1537973100000,4147.432291666667,2018-09-26 14:45:00
1538156700000,4638.838541666667,2018-09-28 17:45:00
1538340300000,1803.296875,2018-09-30 20:45:00
1538523900000,6493.630208333333,2018-10-02 23:45:00
1538707500000,2761.5208333333335,2018-10-05 02:45:00
1538891100000,2482.8958333333335,2018-10-07 05:45:00
1539074700000,3634.0416666666665,2018-10-09 08:45:00
1539258300000,3007.296875,2018-10-11 11:45:00
1539441900000,4303.666666666667,2018-10-13 14:45:00
1539625500000,3936.4375,2018-10-15 17:45:00
1539809100000,4332.84375,2018-10-17 20:45:00
1539992700000,5197.671875,2018-10-19 23:45:00
1540176300000,2402.8489583333335,2018-10-22 02:45:00
1540359900000,5441.770833333333,2018-10-24 05:45:00
1540543500000,5855.125,2018-10-26 08:45:00
1540727100000,3191.5677083333335,2018-10-28 11:45:00
1540910700000,7873.5,2018-10-30 14:45:00
1541094300000,3607.2083333333335,2018-11-01 17:45:00
1541277900000,2574.1614583333335,2018-11-03 20:45:00
1541461500000,6631.770833333333,2018-11-05 23:45:00
1541645100000,8532.260416666666,2018-11-08 02:45:00
1541828700000,6933.8125,2018-11-10 05:45:00
1542012300000,2868.2708333333335,2018-11-12 08:45:00
1542195900000,7353.119791666667,2018-11-14 11:45:00
1542379500000,14159.953125,2018-11-16 14:45:00
1542563100000,3424.0364583333335,2018-11-18 17:45:00
1542746700000,32867.604166666664,2018-11-20 20:45:00
1542930300000,8004.479166666667,2018-11-22 23:45:00
1543113900000,4044.0,2018-11-25 02:45:00
1543297500000,7526.036458333333,2018-11-27 05:45:00
1543481100000,15542.880208333334,2018-11-29 08:45:00
1543664700000,11712.302083333334,2018-12-01 11:45:00
1543848300000,4145.09375,2018-12-03 14:45:00
1544031900000,3930.8697916666665,2018-12-05 17:45:00
1544215500000,7360.463541666667,2018-12-07 20:45:00
1544399100000,2869.1979166666665,2018-12-09 23:45:00
1544582700000,7611.052083333333,2018-12-12 02:45:00
1544766300000,4600.510416666667,2018-12-14 05:45:00
1544949900000,3823.7552083333335,2018-12-16 08:45:00
1545133500000,4563.536458333333,2018-12-18 11:45:00
1545317100000,4694.192708333333,2018-12-20 14:45:00
1545500700000,2695.4635416666665,2018-12-22 17:45:00
1545684300000,4565.333333333333,2018-12-24 20:45:00
1545867900000,3171.421875,2018-12-26 23:45:00
1546051500000,2990.2708333333335,2018-12-29 02:45:00
1546235100000,1691.890625,2018-12-31 05:45:00
1546418700000,1956.90625,2019-01-02 08:45:00
1546602300000,3551.953125,2019-01-04 11:45:00
1546785900000,2841.859375,2019-01-06 14:45:00
1546969500000,3627.6666666666665,2019-01-08 17:45:00
1547153100000,4055.953125,2019-01-10 20:45:00
1547336700000,3128.140625,2019-01-12 23:45:00
1547520300000,4007.1875,2019-01-15 02:45:00
1547703900000,6166.083333333333,2019-01-17 05:45:00
1547887500000,4281.078125,2019-01-19 08:45:00
1548071100000,3095.515625,2019-01-21 11:45:00
1548254700000,5546.572916666667,2019-01-23 14:45:00
1548438300000,5429.578125,2019-01-25 17:45:00
1548621900000,3072.125,2019-01-27 20:45:00
1548805500000,4044.0572916666665,2019-01-29 23:45:00
1548989100000,3992.8229166666665,2019-02-01 02:45:00
1549172700000,4264.197916666667,2019-02-03 05:45:00
1549356300000,3868.4322916666665,2019-02-05 08:45:00
1549539900000,3511.859375,2019-02-07 11:45:00
1549723500000,6698.427083333333,2019-02-09 14:45:00
1549907100000,5988.791666666667,2019-02-11 17:45:00
1550090700000,14955.677083333334,2019-02-13 20:45:00
1550274300000,16945.885416666668,2019-02-15 23:45:00
1550457900000,4148.057291666667,2019-02-18 02:45:00
1550641500000,12951.588541666666,2019-02-20 05:45:00
1550825100000,12677.65625,2019-02-22 08:45:00
1551008700000,4974.671875,2019-02-24 11:45:00
1551192300000,10193.755208333334,2019-02-26 14:45:00
1551375900000,8881.8125,2019-02-28 17:45:00
1551559500000,6942.791666666667,2019-03-02 20:45:00
1551743100000,8678.307291666666,2019-03-04 23:45:00
1551926700000,9501.140625,2019-03-07 02:45:00
1552110300000,4993.630208333333,2019-03-09 05:45:00
1552293900000,3673.3385416666665,2019-03-11 08:45:00
1552477500000,7094.5625,2019-03-13 11:45:00
1552661100000,2627.9895833333335,2019-03-15 14:45:00
1552844700000,1978.5833333333333,2019-03-17 17:45:00
1553028300000,3617.90625,2019-03-19 20:45:00
1553211900000,5780.473958333333,2019-03-21 23:45:00
1553395500000,1829.6145833333333,2019-03-24 02:45:00
1553579100000,6615.3125,2019-03-26 05:45:00
1553762700000,15661.255208333334,2019-03-28 08:45:00
1553946300000,25915.302083333332,2019-03-30 11:45:00
1554129900000,15013.15625,2019-04-01 14:45:00
1554313500000,53290.994791666664,2019-04-03 17:45:00
1554497100000,27133.895833333332,2019-04-05 20:45:00
1554680700000,8108.791666666667,2019-04-07 23:45:00
1554864300000,13139.15625,2019-04-10 02:45:00
1555047900000,10986.364583333334,2019-04-12 05:45:00
1555231500000,7472.020833333333,2019-04-14 08:45:00
1555415100000,9879.96875,2019-04-16 11:45:00
1555598700000,16632.822916666668,2019-04-18 14:45:00
1555782300000,11907.5625,2019-04-20 17:45:00
1555965900000,15577.265625,2019-04-22 20:45:00
1556149500000,31614.833333333332,2019-04-24 23:45:00
1556333100000,13185.708333333334,2019-04-27 02:45:00
1556516700000,4837.041666666667,2019-04-29 05:45:00
1556700300000,18675.260416666668,2019-05-01 08:45:00
1556883900000,7984.942708333333,2019-05-03 11:45:00
1557067500000,11287.104166666666,2019-05-05 14:45:00
1557251100000,16529.645833333332,2019-05-07 17:45:00
1557434700000,20054.958333333332,2019-05-09 20:45:00
1557618300000,27248.536458333332,2019-05-11 23:45:00
1557801900000,8605.442708333334,2019-05-14 02:45:00
1557985500000,50261.083333333336,2019-05-16 05:45:00
1558169100000,52994.697916666664,2019-05-18 08:45:00
1558352700000,5505.609375,2019-05-20 11:45:00
1558536300000,16328.645833333334,2019-05-22 14:45:00
1558719900000,17506.171875,2019-05-24 17:45:00
1558903500000,4497.760416666667,2019-05-26 20:45:00
1559087100000,14697.151041666666,2019-05-28 23:45:00
1559270700000,18097.890625,2019-05-31 02:45:00
1559454300000,13680.447916666666,2019-06-02 05:45:00
1559637900000,34842.895833333336,2019-06-04 08:45:00
1559821500000,6071.052083333333,2019-06-06 11:45:00
1560005100000,8597.229166666666,2019-06-08 14:45:00
1560188700000,5837.510416666667,2019-06-10 17:45:00
1560372300000,13622.046875,2019-06-12 20:45:00
1560555900000,15256.177083333334,2019-06-14 23:45:00
1560739500000,14644.286458333334,2019-06-17 02:45:00
1560923100000,18538.411458333332,2019-06-19 05:45:00
1561106700000,26205.666666666668,2019-06-21 08:45:00
1561290300000,33565.260416666664,2019-06-23 11:45:00
1561473900000,10276.359375,2019-06-25 14:45:00
1561657500000,63891.708333333336,2019-06-27 17:45:00
1561841100000,8976.0,2019-06-29 20:45:00
1562024700000,15153.583333333334,2019-07-01 23:45:00
1562208300000,6779.734375,2019-07-04 02:45:00
