Timestamp,index,Open,High,Low,Close,Volume,value,value_classification,daily_std,MA7,MA30,market_regime,mempool_transaction_count,MempoolSizeBytes,avg_fee_usd
2018-04-22,80,8791.3,9036.52,8718.74,8870.73,9009.35138717,31.0,Fear,158.89000000000033,8343.964285714286,7633.895666666666,0,7.341031438525086,13.888383470126248,5.604233109772734
2018-04-23,81,8873.72,9006.39,8760.0,8849.98,10443.23441196,28.0,Fear,123.19499999999972,8465.92,7631.632,0,7.8812687744776015,14.405580210929658,5.237842906668045
2018-04-24,82,8849.98,9467.57,8829.32,9462.51,18454.73294139,29.0,Fear,319.125,8693.088571428572,7659.873,0,8.2300859537153,14.744770549236646,5.105695364765947
2018-04-25,83,9462.51,9755.53,8751.0,8969.5,31927.0073525,64.0,Greed,502.2650000000003,8814.91,7694.8566666666675,0,8.141047931031386,14.673256530170914,5.047268202987736
2018-04-26,84,8962.0,9175.0,8647.29,8872.9,20234.52294469,47.0,Neutral,263.8549999999996,8904.61,7727.483666666666,0,8.043300342283388,14.596231621340278,5.03047789551027
2018-04-27,85,8868.94,9387.82,8864.24,9091.58,13500.24056656,55.0,Greed,261.79,8987.544285714286,7767.012000000001,0,7.942859379734587,14.63887182333041,5.039542601241752
2018-04-28,86,9091.57,9425.0,8854.47,9398.51,16453.15016652,54.0,Neutral,285.2650000000003,9073.672857142858,7835.396999999999,0,7.831191945517054,14.679767952680915,5.053523137405951
2018-04-29,87,9391.59,9538.75,9180.0,9314.99,11399.33936534,61.0,Greed,179.375,9137.13857142857,7918.440666666666,0,7.70546891001358,14.71905709310746,5.151912911677428
2018-04-30,88,9316.99,9443.96,9111.0,9326.6,7594.17596749,59.0,Greed,166.47999999999956,9205.227142857142,7994.060666666667,0,7.678608304261666,14.353503569475931,5.161266911517928
2018-05-01,89,9323.8,9331.5,8815.91,8959.51,12021.39475925,56.0,Greed,257.7950000000001,9133.37,8062.364666666666,0,7.651006244660578,13.771340206787858,5.129603392198782
2018-05-02,90,8958.11,9188.1,8955.63,9111.01,10382.77974899,52.0,Neutral,116.23500000000058,9153.585714285717,8133.490333333333,0,7.926856402710616,14.132227342069417,4.851038342479354
2018-05-03,91,9112.02,9731.2,9086.84,9638.26,11987.08233341,55.0,Greed,322.1800000000003,9262.922857142858,8205.765666666666,0,8.142833019764947,14.396852381945962,4.6411920340986565
2018-05-04,92,9638.26,9799.99,9527.38,9644.82,7920.90079204,56.0,Greed,136.3050000000003,9341.957142857143,8298.735999999999,0,8.162546694738992,14.43978563959888,4.569386134047921
2018-05-05,93,9644.82,9948.98,9628.56,9838.07,6933.66723688,63.0,Greed,160.21000000000004,9404.751428571428,8400.938333333334,0,8.181879242054595,14.48095126263522,4.514178675869688
2018-05-06,94,9838.98,9918.41,9375.0,9488.37,8625.0603425,67.0,Greed,271.7049999999999,9429.52,8496.572,0,8.262444076704448,14.590392493445382,4.33841956185393
2018-05-07,95,9487.39,9634.5,9175.0,9421.73,12295.97829288,56.0,Greed,229.75,9443.11,8577.397333333334,0,8.336999369388344,14.68902909847893,4.219608367109273
2018-05-08,96,9421.73,9450.0,9015.0,9239.35,12343.18279284,62.0,Greed,217.5,9483.087142857144,8652.375666666667,0,7.979214922109937,14.316407176899697,4.519199739956428
2018-05-09,97,9239.34,9368.79,8974.62,9281.74,11067.94940024,53.0,Neutral,197.08500000000004,9507.477142857142,8739.285,0,7.41681997823021,13.71577455959522,5.045972536541184
2018-05-10,98,9271.31,9393.0,9066.05,9089.05,11035.52402121,63.0,Greed,163.47500000000036,9429.018571428573,8813.931333333334,0,8.514776384400596,15.143349483408755,3.885153912660951
2018-05-11,99,9088.64,9128.88,8503.74,8613.5,19577.5229274,41.0,Fear,312.5699999999997,9281.687142857145,8870.546666666667,0,9.025470780029416,15.708725808192906,3.3976652428367644
2018-05-12,100,8606.27,8652.8,8208.81,8492.13,16978.05371122,44.0,Fear,221.9949999999999,9089.41,8897.684333333335,0,9.361886770748304,16.06769570741405,3.118503825697428
2018-05-13,101,8487.97,8687.01,8335.56,8625.78,9422.30375578,40.0,Fear,175.72500000000036,8966.182857142858,8915.217333333334,0,8.8646911028254,15.499320561241111,3.6979946488742415
2018-05-14,102,8620.21,8828.27,8286.57,8756.99,18053.59981479,40.0,Fear,270.8500000000004,8871.22,8939.730333333333,0,7.831573855401995,14.049463378069516,4.808718763071328
2018-05-15,103,8756.89,8900.9,8400.0,8555.6,13961.0203866,40.0,Fear,250.44999999999985,8773.541428571429,8948.340999999999,0,7.984060713644119,14.209137581703416,4.853976789396245
2018-05-16,104,8555.45,8569.92,8100.01,8252.72,12872.74409938,32.0,Fear,234.95499999999996,8626.538571428571,8956.888666666666,0,8.11634242085882,14.34679168715415,4.866549267130302
2018-05-17,105,8251.0,8500.0,8110.02,8176.33,7728.26191694,31.0,Fear,194.98999999999975,8496.15,8967.021999999999,0,8.287380969488117,14.654116184255896,4.839343438572693
2018-05-18,106,8176.33,8275.1,7929.53,8231.42,8413.98762281,37.0,Fear,172.7850000000003,8441.567142857142,8970.844333333334,0,8.43339369626186,14.8888626224602,4.832812684092765
2018-05-19,107,8235.61,8395.0,8141.08,8313.12,3533.48346304,31.0,Fear,126.96000000000004,8415.994285714287,8973.115,0,7.978252046294258,14.363453057768442,5.128867643510998
2018-05-20,108,8313.14,8551.79,8170.71,8517.04,5254.57436501,32.0,Fear,190.5400000000004,8400.460000000001,8973.315,0,7.119294256938212,13.188549154352032,5.808624634594375
2018-05-21,109,8517.33,8590.0,8320.0,8373.01,6187.14637471,41.0,Fear,135.0,8345.605714285713,8959.228333333334,0,7.590853438923406,13.764714174087471,5.064336714517337
2018-05-22,110,8378.99,8455.0,8119.38,8187.98,7451.84136757,30.0,Fear,167.80999999999997,8293.088571428572,8936.47,0,7.910013440344522,14.127932879066933,4.378464069572764
2018-05-23,111,8187.99,8205.0,7435.49,7590.34,17594.60433355,26.0,Fear,384.7550000000001,8198.462857142857,8894.482,0,7.780020104565496,13.971014318987963,4.394137504233091
2018-05-24,112,7599.99,7733.99,7267.24,7585.48,12868.64033459,27.0,Fear,233.375,8114.055714285715,8831.914333333332,0,7.630567445466328,13.784804813791778,4.502876425401533
2018-05-25,113,7577.75,7661.07,7328.13,7427.02,10347.10520898,25.0,Extreme Fear,166.4699999999998,7999.141428571428,8780.498333333333,0,7.454786256964986,13.555800849335402,4.615800029894273
2018-05-26,114,7427.01,7622.87,7360.5,7519.28,3736.77290715,23.0,Extreme Fear,131.18499999999997,7885.735714285714,8735.377666666667,0,7.245077228899496,13.338448186814563,4.794289380685584
2018-05-27,115,7522.24,7614.9,7213.09,7302.99,3966.94064182,19.0,Extreme Fear,200.90499999999972,7712.300000000001,8675.758,0,6.979392567580744,13.06034369244487,5.032430203121358
2018-05-28,116,7301.98,7445.0,7170.0,7239.22,5478.92170087,22.0,Extreme Fear,137.5,7550.33,8603.781666666666,0,7.419672494245285,13.601102610360176,4.5850198913577485
2018-05-29,117,7239.99,7537.0,7026.9,7470.0,11183.43966417,16.0,Extreme Fear,255.05000000000015,7447.761428571429,8542.282,0,7.724317752366191,13.950134103972111,4.313393483839991
2018-05-30,118,7470.0,7559.0,7273.89,7314.06,9056.41240986,38.0,Fear,142.55499999999984,7408.292857142857,8475.197333333334,0,7.523502415808413,13.814185792829475,4.494746985211436
2018-05-31,119,7311.52,7601.23,7307.84,7539.49,7144.69915594,25.0,Extreme Fear,146.6949999999997,7401.722857142857,8427.863333333335,0,7.271960652099739,13.656803441278155,4.69202913368828
2018-06-01,120,7530.97,7620.01,7348.45,7436.58,7529.62749686,24.0,Extreme Fear,135.7800000000002,7403.088571428571,8372.049,0,7.292847597282364,13.71377296810586,4.564955871523713
2018-06-02,121,7436.69,7700.0,7394.4,7659.65,4410.38668444,27.0,Fear,152.80000000000018,7423.141428571429,8306.095333333333,0,7.313307188878473,13.767671154959425,4.4721843844660665
